document_id,clean_text,Sentiment
0,entire movie looked like video game art budokai tenkaichi cut scene art style completely different original dragon ball super series incredibly disappointing definitely ruined enjoyment watching moviegohans transformation incredibly anticlimactic boring absolutely back story randomly transforms far weaker tournament power animation character looked like fan art photoshoplastly creation cell max one worst part movie claimed far superior original cell could talk didnt heal automatically regenerate unrealistically large like giant back story improved original get cell alien visit planet like beerus whis etc definitely kept closer original perfect cell powerful intelligent change appearance slightly wing pointless pretty much everyone fly energy could powered fly away instead using wingsgreat plot though good story incredibly disappointing design lack information,Positive
1,im dragon ball fan time ive watched back childhood db dbz streamed tv needle say went clueless old general knowledge series thinking gonna waste time surprise genuinely enjoyed movie really fun lighthearted story casual series like would like could understand fan series might hate filler doesnt really feature main character much add depth story story deeper meaning rely dragon ball dragon ball series joke yes nostalgia dragon ball well known shtick made whole theater burst laughing several time movie selfawarness campiness really sold also piccolo big titty main protagonist honestly remember liking piccolo kid movie brought back fondness slightly different way didnt mind animation faster paced action scene bother bit cgi visible make sense color palette movie pretty overall enjoyable fun easy watch,Positive
2,ive seen movie cinema laugh much like humor movie well done graphic cgi mix nicethis movie showed care character besides goku vegeta love tell much life character new one really love create new relation character one past moviesi think movie good watch friend family time well spentit specific thing story behind explain better term end resume liked much movie,Positive
3,honest first really concerned cgianimation since db broly looked great shintani art style really sad hear movie would get treatmentafter saw movie say really great dragon ball movie happy animation really good cgi look really great story althought greatest made sense different even though goku vegeta play important role movie really fun see piccolo gohan main character role fight amazing movie great climax beast gohan beating cell max negative point would short period time saw beast gohan end day movie amount time limitedoverall great movie,Positive
4,dragon ball fan india delight watch theatre many year toriyamas statement gohan powerful wanted time saw goku vegeta dont get much time movie properly based piccolo gohan plot movie dragon ball style action filled situational comedy run time le movie lack properly setting plot also animation style dragon ball used pretty unique time given chance watching new animation style theatre worked varies everyone overall watch sure cause dragon ball best transformation anime watching transformation theatre awesome experience,Positive
5,horrible storyline even worse transformation nothing original basically gave baby vegetas look gohan turned cell bio broly,Negative
6,one dragon ball movie actually story follow minute text hour punch people want anyway great visuals even tho skeptical cgi gladly wrongit make sense could able recreate cell since rra one data dr gero projectsalso love fact see thing developt there goku vegeta around save dayit good amount fan service gohan blanco new form fan favorite character piccolo enemy motivation like broly overall great dragon ball movie probably top,Positive
7,first story really mix androidcell saga bio broly movie would ok db movie never story imho villain cool actionand problem begin cell monster idk think sucked piccolo really mvp movie spy action clever move wish shenron tacniques didnt use since classic db loved new form im little torn think fact finally get simething awesome well deserved screentime heregohan tho honestly movie could gohan completely annoying transforms something even special end blast big bad dead piccolo move never used stupid devalued piccolo power big time really destroyed whole movie least,Negative
8,kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worledkakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worledkakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worledkakaroto goku best anime worled kakaroto goku best anime worled kakaroto goku best anime worled,Positive
9,great addition super youre casual dbzs fan mustwatch youre piccolo gohan fan man feel refreshing see take spotlight issue mostly lie pacing way much red ribbon backstory clogging run time worst offender toei missing perfect opportunity reprise great saiyaman especially superhero namesakethe comedy onpoint laughing every line pan adorable gamma love first sight stole second act best fight movie cg welldone really take advantage cinematography fighting choreography wouldnt put top dbzs movie place top dbzs marathon,Positive
10,loyal fan dragon ball franchise year film really reinforced feeling last couple yearsi enjoyed latest broly film good part dragon ball super whole ruined franchise making seems like audience aiming young child compare latest film dragon ball z really sad see much regressed sat cinema actually point painful bad wonder fan made dragon ball anime yt getting removed much better rubbish seem producing nowthe transformation particular film make absolute sense animation imo shockingly bad goat programme like demon slayer aot leaving dragon ball dusti cannot understand people life long dragon ball fan rate film highly never write review disappointed felt,Negative
11,movie bad dragon ball character always characterized showing personality movie villain doesnt even say word personalitysome people always story lose essence example bulma leaf aside technology aesthetic thing well pikoro change attitude tolerance towards villainfor creation cell max given detail operation origin reason creation also seems little story trunk crilin finish laboratory destroy everything related creation cell take plan android almost impossible get informationi didnt like movie made year old kid dont need know story laugh simple joke,Negative
12,like honestly akira ruining legacy much potential piccolo big transformation called orange piccolo like come man worse cell saga reason goku vegeta movie even little cuz theyre face dragon ball super took cell design took everything made good away gall say used dr geros document come wasnt even perfect form another thing made cell great took cell max intelligence cell max said complete movie beserk entire time,Positive
13,title state highly disappointed ive tried every single outlet short disney plus anybody link capable sharing would great want watch movie like canada apparently make ineligible watch movie make zero sense also write word make complaint north america need regulate viewing license better proper control may may view purchase content thats going stay way absurd far passed release still cant watch canada,Neutral
14,movie breathe fresh air high stake world ending drama master akira toriyama produce beautifully written gorgeously animated story put gohan piccolo centerpiece instead typical dragon ball storyline staple franchisegoku vegeta step save day strong enough defeat villain movie focus past supporting character allows shine hero shine wonderful see gohan finally get show true potential power screen talked potential future dangled carrot long enough pan character arc made great stride film wasnt lot also wasnt top overbearing im excited see story progress teaching piccololike father like daughter trunk goten finally becoming teenager long due something happy see newest edition franchise gamma gamma awesome edition dragon ball roster personality fighting style ability overly op android hollywood could take note movie introduce new character long storied successful franchiseseriouslythis fantastic movie however perfect imperfection within script would like preface gripe minimal dont think change implimented would improved upon movie much trailer last summer felt misleading watching im pleased movie went area explored gohan fandom asking year however wish could tad upfront instead using goku vegeta main selling point marketing campaign release great gohan finally able break ceiling pushed beyond limit lost bit shouldnt able given lack continuous training piccolo made strong point emphasis early film able hollywood vin diesel syndrome family fact franchise built back goku vegeta would nice see get minute screen time throughout runtime would nice see progress made training whis since fight broly said id like reiterate minor gripe changing thing would really improve upon storyto sumerize fantastic story introduced new character expanded upon several franchise beloved character im excited see toriyama implement pan gamma ever expanding universe dragon ball super,Positive
15,entire movie looked like video game art budokai tenkaichi cut scene art style completely different original dragon ball super series incredibly disappointing definitely ruined enjoyment watching moviegohans transformation incredibly anticlimactic boring absolutely back story randomly transforms far weaker tournament power animation character looked like fan art photoshoplastly creation cell max one worst part movie claimed far superior original cell could talk didnt heal automatically regenerate unrealistically large like giant back story improved original get cell alien visit planet like beerus whis etc definitely kept closer original perfect cell powerful intelligent change appearance slightly wing pointless pretty much everyone fly energy could powered fly away instead using wingsgreat plot though good story incredibly disappointing design lack information,Neutral
16,im dragon ball fan time ive watched back childhood db dbz streamed tv needle say went clueless old general knowledge series thinking gonna waste time surprise genuinely enjoyed movie really fun lighthearted story casual series like would like could understand fan series might hate filler doesnt really feature main character much add depth story story deeper meaning rely dragon ball dragon ball series joke yes nostalgia dragon ball well known shtick made whole theater burst laughing several time movie selfawarness campiness really sold also piccolo big titty main protagonist honestly remember liking piccolo kid movie brought back fondness slightly different way didnt mind animation faster paced action scene bother bit cgi visible make sense color palette movie pretty overall enjoyable fun easy watch,Neutral
17,ive seen movie cinema laugh much like humor movie well done graphic cgi mix nicethis movie showed care character besides goku vegeta love tell much life character new one really love create new relation character one past moviesi think movie good watch friend family time well spentit specific thing story behind explain better term end resume liked much movie,Positive
18,honest first really concerned cgianimation since db broly looked great shintani art style really sad hear movie would get treatmentafter saw movie say really great dragon ball movie happy animation really good cgi look really great story althought greatest made sense different even though goku vegeta play important role movie really fun see piccolo gohan main character role fight amazing movie great climax beast gohan beating cell max negative point would short period time saw beast gohan end day movie amount time limitedoverall great movie,Positive
19,dragon ball fan india delight watch theatre many year toriyamas statement gohan powerful wanted time saw goku vegeta dont get much time movie properly based piccolo gohan plot movie dragon ball style action filled situational comedy run time le movie lack properly setting plot also animation style dragon ball used pretty unique time given chance watching new animation style theatre worked varies everyone overall watch sure cause dragon ball best transformation anime watching transformation theatre awesome experience,Positive
